Fecha,TLALPAN,BENITOJUAREZ,AZCAPOTZALCO,GUSTAVOAMADERO,CUAHUTEMOC,IZTACALCO,VENUSTIANOCARRANZA,MIGUELHIDALGO,ALVAROOBREGON,TLAHUAC,CUAJIMALPA,COYOACAN,IZTAPALAPA
01/01/2020,,1.4,1.5,,,1.7,2.1,1.2,1.1,2.0,0.7000000000000001,1.0,0.95
02/01/2020,,0.4,1.1,,,1.0,0.6,0.8,0.2,0.2,0.2,0.2,0.44999999999999996
03/01/2020,0.4,0.6,1.4,,,1.2,1.7,0.8,0.6,0.6,0.45,0.6,1.0499999999999998
04/01/2020,0.7,0.6,0.9,,,0.7,0.7,0.9,0.8,0.4,0.45,0.65,0.8500000000000001
05/01/2020,0.5,1.7,1.3,,,2.2,0.8,1.7,0.7,1.2,1.1,1.15,1.6
06/01/2020,1.2,1.3,2.6,,,2.0,2.6,2.3,1.1,1.5,1.4,1.6,2.35
07/01/2020,0.5,1.5,1.8,,,3.1,2.3,0.6,0.6,1.8,0.55,1.5499999999999998,2.5
08/01/2020,0.8,0.8,1.1,,,1.3,1.3,0.7,0.8,0.8,1.05,0.9,1.2000000000000002
09/01/2020,0.6,1.1,2.6,,,2.6,2.6,1.9,1.8,2.2,1.1,1.1,3.7
10/01/2020,0.4,1.7,2.5,,,1.6,3.1,1.1,0.9,1.5,0.4,1.1,4.0
11/01/2020,0.4,1.2,1.1,,,0.9,1.9,1.1,0.8,1.5,0.55,1.0,1.2
12/01/2020,0.8,0.9,1.2,,,1.2,1.5,0.9,0.6,1.5,0.75,1.0,0.7
13/01/2020,0.7,1.7,3.1,,,2.6,2.0,1.8,0.9,1.3,0.75,1.6,2.8499999999999996
14/01/2020,0.6,1.6,1.9,,1.3,0.9,2.3,1.8,0.6,2.7,1.05,1.5499999999999998,1.5499999999999998
15/01/2020,0.7,1.5,1.7,,1.3,1.8,1.4,1.9,1.0,1.3,0.6,1.2,1.85
16/01/2020,0.4,0.9,0.9,,0.8,1.2,1.2,0.9,0.7,0.7,0.6499999999999999,0.7,0.75
17/01/2020,0.4,1.5,1.8,,1.4,1.4,1.2,1.2,1.0,1.2,0.95,1.2000000000000002,1.7
18/01/2020,0.6,1.9,1.3,,1.3,2.1,1.8,1.6,0.9,1.0,0.6499999999999999,1.05,1.75
19/01/2020,0.3,0.3,0.4,,0.4,0.4,0.6,0.3,0.2,0.4,0.3,0.45,0.35
20/01/2020,0.6,0.7,0.7,,0.6,0.9,1.1,0.7,1.0,1.1,0.6,1.15,1.1
21/01/2020,0.6,1.7,1.3,,0.8,2.8,1.5,0.9,0.7,1.5,0.9,1.25,1.3
22/01/2020,0.5,1.9,3.1,,1.3,2.7,2.0,3.1,1.2,1.5,0.55,1.6,1.8
23/01/2020,0.5,1.2,2.5,,1.1,2.0,1.9,1.2,1.5,1.1,0.45,1.65,1.5
24/01/2020,0.5,0.7,1.1,,0.9,1.1,1.0,0.9,0.6,1.7,0.7,0.95,1.0
25/01/2020,0.5,1.1,1.5,,1.1,1.7,1.5,0.8,0.9,0.8,0.8,1.25,1.6
26/01/2020,0.4,0.9,1.3,,0.7,1.6,,0.9,0.5,0.9,0.6,0.8500000000000001,0.9
27/01/2020,0.6,1.6,2.0,,1.4,1.7,,1.3,0.9,1.7,0.5,1.3,1.2
28/01/2020,0.3,1.5,3.0,,1.2,1.5,,2.1,1.0,1.6,0.6,1.4,1.5
29/01/2020,0.6,1.7,1.1,,0.8,1.9,,1.3,0.8,1.9,1.15,1.55,2.1
30/01/2020,0.7,1.3,2.7,,1.4,2.6,,1.4,1.1,0.7,0.6499999999999999,0.9,0.7
31/01/2020,0.2,0.9,1.7,,1.2,1.4,,0.7,0.6,1.2,0.45,1.1,0.7
01/02/2020,,0.6,0.7,,0.7,1.4,,0.7,0.6,0.8,0.7,1.0,0.9
02/02/2020,,0.9,1.7,,0.9,1.4,,1.1,0.7,1.5,0.8500000000000001,1.1,1.4
03/02/2020,,1.1,1.0,,0.9,1.7,,0.9,0.5,0.7,0.35,0.6,1.6
04/02/2020,,0.3,3.1,,0.8,0.8,,1.1,1.2,0.4,0.7,0.75,0.3
05/02/2020,,0.6,0.8,,0.8,0.6,,1.3,0.3,0.2,0.25,0.35,0.45
06/02/2020,,0.9,1.0,,0.8,1.1,,1.0,0.5,0.8,0.7,0.7,0.6000000000000001
07/02/2020,,2.1,2.2,,2.4,1.8,2.3,2.4,2.0,1.6,0.9500000000000001,1.75,2.5
08/02/2020,,1.0,1.8,,1.2,1.4,1.3,1.4,0.7,1.3,0.8,0.6499999999999999,2.15
09/02/2020,,0.9,1.0,,1.2,0.9,1.6,0.8,0.5,1.0,0.4,0.75,1.5
10/02/2020,,1.6,2.4,,1.8,2.2,2.0,,1.0,1.5,0.85,1.05,2.5999999999999996
11/02/2020,,1.6,1.8,,1.8,2.4,2.0,2.4,1.2,2.1,1.1,1.2,2.85
12/02/2020,,0.9,0.8,,0.5,1.1,2.3,0.8,0.8,1.1,0.35,0.9500000000000001,1.5
13/02/2020,,1.6,1.8,,1.2,0.9,0.6,1.1,1.1,2.1,0.95,0.8,1.5
14/02/2020,,1.9,1.2,,1.8,1.4,1.8,1.4,1.0,2.3,1.0,1.45,1.3
15/02/2020,,1.3,1.3,,0.8,,1.5,1.0,0.7,1.2,0.8,0.8,1.25
16/02/2020,,1.0,0.8,,1.2,,1.1,1.3,0.5,1.4,0.5,0.8,1.6
17/02/2020,,1.3,1.6,,1.7,,1.8,2.6,1.4,1.1,0.7,1.3,2.7
18/02/2020,,1.4,1.8,,1.4,,1.8,1.8,1.7,2.4,1.15,1.65,2.7
19/02/2020,,1.8,2.3,,1.7,,1.8,2.3,1.1,0.6,0.9500000000000001,1.55,2.6500000000000004
20/02/2020,,1.2,1.5,,1.4,,0.9,1.4,0.8,1.2,0.8999999999999999,1.2000000000000002,1.15
21/02/2020,,0.3,0.5,,0.4,0.4,0.8,0.5,0.4,0.5,0.5,0.35,0.6499999999999999
22/02/2020,,0.8,1.0,,1.0,1.0,0.8,1.1,0.6,0.6,0.9,0.6,1.05
23/02/2020,,0.8,1.1,,1.5,1.3,1.5,1.1,0.7,0.9,0.45,0.8,1.25
24/02/2020,,1.3,1.5,,1.2,1.6,2.0,1.5,0.7,1.2,0.85,1.15,2.25
25/02/2020,,1.5,2.2,,1.0,1.0,1.9,1.3,0.6,1.2,0.5,0.8,1.85
26/02/2020,,0.6,0.7,,0.6,1.5,1.3,0.7,0.6,2.0,0.7,0.8500000000000001,1.15
27/02/2020,,0.9,1.3,,1.0,0.7,0.9,1.3,1.0,0.9,0.9,1.0,0.9
28/02/2020,,1.5,1.3,,1.0,1.8,1.4,0.7,0.6,1.2,0.8999999999999999,1.0,1.05
29/02/2020,,0.9,1.2,,0.9,0.8,0.9,1.2,0.5,1.2,1.0,0.8,0.95
01/03/2020,,0.8,1.5,,0.9,0.9,1.3,1.3,0.5,1.0,0.5,0.75,1.5499999999999998
02/03/2020,0.4,1.0,3.5,,0.7,1.4,2.1,0.4,0.7,1.0,0.4,0.7,1.6500000000000001
03/03/2020,0.4,1.3,2.1,,0.9,0.9,2.6,1.3,0.9,1.3,0.3,1.1,1.95
04/03/2020,0.3,1.2,1.2,,0.7,1.2,1.1,1.2,0.4,0.6,0.3,0.8,0.9
05/03/2020,0.7,1.7,1.6,,0.7,1.5,1.4,1.0,0.7,1.6,0.7,1.05,1.65
06/03/2020,0.6,0.5,0.6,,0.5,0.6,0.6,0.6,0.5,0.6,0.5,0.6499999999999999,0.55
07/03/2020,0.5,0.6,0.7,,0.7,0.6,0.6,0.7,0.6,1.0,0.6,0.7,0.6
08/03/2020,0.5,0.8,0.9,,0.6,0.7,0.7,0.8,0.6,0.7,0.8,0.7,1.0
09/03/2020,0.7,0.9,1.3,,0.7,0.6,0.9,1.2,0.7,0.8,0.6,0.75,0.95
10/03/2020,0.5,0.9,0.7,,0.9,0.8,0.9,0.8,0.8,0.8,0.7,0.65,0.45
11/03/2020,0.8,1.2,1.5,,1.4,1.1,1.3,1.5,1.0,0.8,0.9,1.05,0.9
