Fecha,TLALPAN,BENITOJUAREZ,AZCAPOTZALCO,COYOACAN_1,CUAJIMALPA_1,GUSTAVOAMADERO,CUAUHTEMOC,IZTACALCO,VENUSTIANOCARRANZA,MIGUELHIDALGO,ALVAROOBREGON,IZTAPALAPA_1,CUAJIMALPA_2,TLAHUAC,COYOACAN_2,IZTAPALAPA_2,COYOACAN,CUAJIMALPA,IZTAPALAPA
01/01/2020,16.0,87.0,,63.0,,,32.0,,102.0,,72.0,85.0,34.0,,102.0,94.0,82.5,34.0,89.5
02/01/2020,,10.0,,8.0,,,,,20.0,,3.0,19.0,13.0,,6.0,,7.0,13.0,19.0
03/01/2020,,18.0,,22.0,,,,,34.0,,24.0,18.0,15.0,,27.0,28.0,24.5,15.0,23.0
04/01/2020,,65.0,,50.0,,,,,80.0,,67.0,65.0,59.0,,56.0,55.0,53.0,59.0,60.0
05/01/2020,,41.0,,28.0,,,,,46.0,,31.0,49.0,23.0,,54.0,54.0,41.0,23.0,51.5
06/01/2020,,41.0,,50.0,,,,,91.0,,52.0,80.0,57.0,,54.0,54.0,52.0,57.0,67.0
07/01/2020,,36.0,,37.0,,,,,40.0,,32.0,52.0,27.0,,62.0,48.0,49.5,27.0,50.0
08/01/2020,,46.0,,40.0,,46.0,,,55.0,,44.0,68.0,44.0,,33.0,56.0,36.5,44.0,62.0
09/01/2020,,38.0,,33.0,,36.0,,,65.0,,44.0,83.0,33.0,,42.0,,37.5,33.0,83.0
10/01/2020,,23.0,,22.0,,46.0,,,45.0,,23.0,67.0,25.0,,36.0,,29.0,25.0,67.0
11/01/2020,,28.0,,20.0,,65.0,,,39.0,,21.0,58.0,22.0,,36.0,25.0,28.0,22.0,41.5
12/01/2020,,40.0,,42.0,,61.0,,,52.0,,50.0,54.0,34.0,,40.0,40.0,41.0,34.0,47.0
13/01/2020,,50.0,,40.0,,42.0,,,46.0,,38.0,73.0,35.0,,48.0,43.0,44.0,35.0,58.0
14/01/2020,,48.0,,40.0,,61.0,,,45.0,,31.0,43.0,46.0,,37.0,40.0,38.5,46.0,41.5
15/01/2020,,40.0,,26.0,,45.0,,,47.0,,36.0,41.0,31.0,,36.0,82.0,31.0,31.0,61.5
16/01/2020,,51.0,,42.0,,63.0,,,59.0,,51.0,50.0,53.0,,47.0,53.0,44.5,53.0,51.5
17/01/2020,,33.0,,30.0,,26.0,,,29.0,,39.0,34.0,41.0,,30.0,25.0,30.0,41.0,29.5
18/01/2020,,50.0,,37.0,,70.0,,,58.0,,40.0,54.0,38.0,,40.0,48.0,38.5,38.0,51.0
19/01/2020,,20.0,,21.0,,20.0,,,21.0,,15.0,17.0,16.0,,31.0,21.0,26.0,16.0,19.0
20/01/2020,,15.0,,20.0,,19.0,,,26.0,,22.0,25.0,23.0,,25.0,25.0,22.5,23.0,25.0
21/01/2020,,45.0,,31.0,,61.0,,,47.0,,45.0,60.0,36.0,,47.0,55.0,39.0,36.0,57.5
22/01/2020,,41.0,,28.0,,62.0,,,57.0,,36.0,84.0,31.0,,52.0,54.0,40.0,31.0,69.0
23/01/2020,,29.0,,26.0,,40.0,,,34.0,,25.0,43.0,20.0,,26.0,34.0,26.0,20.0,38.5
24/01/2020,,29.0,,23.0,,39.0,,,32.0,,24.0,30.0,26.0,,27.0,28.0,25.0,26.0,29.0
25/01/2020,,37.0,,26.0,,48.0,,,42.0,,35.0,35.0,25.0,,34.0,70.0,30.0,25.0,52.5
26/01/2020,,16.0,,17.0,,30.0,,,38.0,,19.0,26.0,15.0,,21.0,20.0,19.0,15.0,23.0
27/01/2020,,22.0,,18.0,,34.0,,,41.0,,26.0,31.0,24.0,,19.0,25.0,18.5,24.0,28.0
28/01/2020,,15.0,,15.0,,35.0,,,14.0,,13.0,36.0,10.0,,22.0,21.0,18.5,10.0,28.5
29/01/2020,,35.0,36.0,26.0,,44.0,,,36.0,,30.0,41.0,33.0,,22.0,27.0,24.0,33.0,34.0
30/01/2020,,15.0,29.0,15.0,,12.0,,,40.0,,20.0,13.0,13.0,,12.0,12.0,13.5,13.0,12.5
31/01/2020,,15.0,25.0,16.0,,16.0,,,26.0,,15.0,21.0,13.0,,17.0,14.0,16.5,13.0,17.5
01/02/2020,,51.0,55.0,43.0,,53.0,,,49.0,,46.0,33.0,48.0,,43.0,51.0,43.0,48.0,42.0
02/02/2020,,33.0,121.0,27.0,,44.0,,,54.0,,35.0,61.0,40.0,,38.0,37.0,32.5,40.0,49.0
03/02/2020,,25.0,27.0,15.0,,35.0,,,22.0,,14.0,51.0,11.0,,40.0,27.0,27.5,11.0,39.0
04/02/2020,,8.0,12.0,16.0,,12.0,,,10.0,,14.0,14.0,10.0,,17.0,11.0,16.5,10.0,12.5
05/02/2020,,9.0,,9.0,,14.0,,,,,10.0,13.0,9.0,,10.0,8.0,9.5,9.0,10.5
06/02/2020,,19.0,30.0,23.0,,20.0,,,,,14.0,35.0,9.0,,23.0,22.0,23.0,9.0,28.5
07/02/2020,,38.0,36.0,25.0,,38.0,,,,,24.0,59.0,18.0,,24.0,31.0,24.5,18.0,45.0
08/02/2020,,23.0,43.0,24.0,,34.0,,,43.0,,19.0,55.0,27.0,,22.0,32.0,23.0,27.0,43.5
09/02/2020,,23.0,33.0,19.0,,43.0,,,32.0,,19.0,42.0,23.0,,37.0,28.0,28.0,23.0,35.0
10/02/2020,,30.0,38.0,22.0,,32.0,,,36.0,,19.0,55.0,25.0,,26.0,36.0,24.0,25.0,45.5
11/02/2020,,30.0,36.0,26.0,,50.0,,,49.0,,31.0,55.0,27.0,,34.0,53.0,30.0,27.0,54.0
12/02/2020,,21.0,26.0,21.0,,29.0,,,33.0,,22.0,25.0,19.0,,23.0,20.0,22.0,19.0,22.5
13/02/2020,,33.0,37.0,36.0,,45.0,,,47.0,,35.0,43.0,43.0,,31.0,47.0,33.5,43.0,45.0
